GEO_ID,NAME,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0007E,DP05_0007M,DP05_0007PE,DP05_0007PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM
id,Geographic Area Name,Estimate!!SEX AND AGE!!Male,Margin of Error!!SEX AND AGE!!Male,Percent!!SEX AND AGE!!Male,Percent Margin of Error!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Margin of Error!!SEX AND AGE!!Female,Percent!!SEX AND AGE!!Female,Percent Margin of Error!!SEX AND AGE!!Female,Estimate!!SEX AND AGE!!15 to 19 years,Margin of Error!!SEX AND AGE!!15 to 19 years,Percent!!SEX AND AGE!!15 to 19 years,Percent Margin of Error!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Margin of Error!!SEX AND AGE!!20 to 24 years,Percent!!SEX AND AGE!!20 to 24 years,Percent Margin of Error!!SEX AND AGE!!20 to 24 years
7950000US1703501,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",85791,5269,50.5,1.7,84031,5864,49.5,1.7,8493,1973,5,1.1,14566,2779,8.6,1.5
7950000US1703502,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",79633,5089,49.2,1.7,82216,4529,50.8,1.7,4273,1231,2.6,0.7,24361,3291,15.1,1.8
7950000US1703503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",68431,4856,49.6,1.8,69596,4933,50.4,1.8,5320,1289,3.9,0.9,6810,2125,4.9,1.4
7950000US1703504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",73761,5271,49.6,1.9,74886,6023,50.4,1.9,9390,1861,6.3,1,10070,1718,6.8,1.1
7950000US1703520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",66168,5624,48.9,1.6,69087,5312,51.1,1.6,8217,1658,6.1,1,6704,1341,5,1
7950000US1703521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",97338,5830,49.4,1.6,99846,6397,50.6,1.6,15383,2091,7.8,1,12366,1898,6.3,0.9
7950000US1703522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",73909,5015,51.4,1.7,69778,4952,48.6,1.7,8889,1635,6.2,1,12945,2063,9,1.3
7950000US1703523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",98107,5506,49.8,1.3,98698,5318,50.2,1.3,14840,2026,7.5,0.9,17996,2396,9.1,1.2
7950000US1703524,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",91435,5911,50.7,1.6,88983,5682,49.3,1.6,9944,1983,5.5,1.1,16203,2581,9,1.2
7950000US1703525,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",66808,6258,47.7,2.6,73195,5000,52.3,2.6,4685,1548,3.3,1.1,11813,3302,8.4,2.2
7950000US1703526,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",84348,5041,50.1,1.4,83920,5137,49.9,1.4,13786,1621,8.2,0.9,16282,2045,9.7,1.1
7950000US1703527,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",72385,5758,50.1,1.6,72163,5060,49.9,1.6,10487,1453,7.3,0.8,11066,2086,7.7,1.2
7950000US1703528,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",71170,4627,45.2,1.5,86403,5062,54.8,1.5,12774,1535,8.1,0.9,13227,2002,8.4,1.1
7950000US1703529,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",78375,5315,43.5,1.7,101914,6179,56.5,1.7,14588,2134,8.1,1.1,17157,2658,9.5,1.3
7950000US1703530,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",59947,5068,47.3,1.8,66666,4764,52.7,1.8,8826,1622,7,1.1,7976,1946,6.3,1.5
7950000US1703531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",60341,3780,44.9,1.9,74185,5187,55.1,1.9,10009,1669,7.4,1.1,8258,1633,6.1,1.1
7950000US1703532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",56253,4690,44.3,1.7,70712,5264,55.7,1.7,9081,1484,7.2,1,9568,1491,7.5,1
