GEO_ID,NAME,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0004E,DP05_0004M,DP05_0004PE,DP05_0004PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM,DP05_0009E,DP05_0009M,DP05_0009PE,DP05_0009PM
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population!!Male,Margin of Error!!SEX AND AGE!!Total population!!Male,Percent Estimate!!SEX AND AGE!!Total population!!Male,Percent Margin of Error!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Margin of Error!!SEX AND AGE!!Total population!!Female,Percent Estimate!!SEX AND AGE!!Total population!!Female,Percent Margin of Error!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Margin of Error!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent Margin of Error!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Margin of Error!!SEX AND AGE!!Total population!!15 to 19 years,Percent Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Percent Margin of Error!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Margin of Error!!SEX AND AGE!!Total population!!20 to 24 years,Percent Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Percent Margin of Error!!SEX AND AGE!!Total population!!20 to 24 years
7950000US1703501,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",90368,5822,51.6,1.9,84899,6310,48.4,1.9,106.4,7.9,(X),(X),8295,2488,4.7,1.3,14219,3114,8.1,1.7
7950000US1703502,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",88746,5334,51.8,1.7,82506,4677,48.2,1.7,107.6,7.3,(X),(X),4173,998,2.4,0.6,21068,3075,12.3,1.7
7950000US1703503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",77521,5371,50.1,2,77095,4955,49.9,2,100.6,8,(X),(X),7663,1412,5,0.8,7316,1689,4.7,1
7950000US1703504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",73475,5067,50.6,1.9,71662,5497,49.4,1.9,102.5,7.7,(X),(X),8077,1594,5.6,1,7954,1495,5.5,1
7950000US1703520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",66651,5425,48.6,1.9,70422,5751,51.4,1.9,94.6,7.4,(X),(X),8857,2048,6.5,1.3,7495,1952,5.5,1.3
7950000US1703521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",93317,7284,48.6,1.7,98749,6983,51.4,1.7,94.5,6.6,(X),(X),12148,1756,6.3,0.8,12623,2575,6.6,1.3
7950000US1703522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",70368,4730,50.2,1.6,69891,4662,49.8,1.6,100.7,6.5,(X),(X),4988,1227,3.6,0.8,10576,2310,7.5,1.6
7950000US1703523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",96878,8936,52.6,2.2,87224,6363,47.4,2.2,111.1,9.9,(X),(X),13870,2401,7.5,1.1,15777,2405,8.6,1.2
7950000US1703524,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",88270,5275,48.9,1.7,92141,5232,51.1,1.7,95.8,6.6,(X),(X),9137,1508,5.1,0.8,14317,2378,7.9,1.2
