Community Area,Community Area Name,Treatment_2004,# 2004 Closing,Treatment_2013,# 2013 Closing,2000_POP,2010_POP,POP_CHANGE,Per_Year_Change,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Pop_2006,Pop_2007,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,2020_2010_Diff,Crime_2002,Crime_2003,Crime_2004,Crime_2005,Crime_2006,Crime_2007,Crime_2008,Crime_2009,Crime_2010,Crime_2011,Crime_2012,Crime_2013,Crime_2014,Crime_2015,Crime_2016,Crime_2017,Crime_2018,Crime_2019,Crime_2020,2002_cr_per_100k,2003_cr_per_100k,2004_cr_per_100k,2005_cr_per_100k,2006_cr_per_100k,2007_cr_per_100k,2008_cr_per_100k,2009_cr_per_100k,2010_cr_per_100k,2011_cr_per_100k,2012_cr_per_100k,2013_cr_per_100k,2014_cr_per_100k,2015_cr_per_100k,2016_cr_per_100k,2017_cr_per_100k,2018_cr_per_100k,2019_cr_per_100k,2020_cr_per_100k,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,Males_15_25,Females_15_25,MED_AGE,WHITE,HISP,BLACK,ASIAN,BACH,MEDINC,ONLY_ENGLISH,NOT_ENGLISH
3,Uptown,0,,1,2,63551,56362,-7189,-718.9,62832,62113,61394,60675,59957,59238,58519,57800,57081,56362,56444,56526,56608,56690,56772,56854,56936,57018,57100,57182,82,6040,7523,7445,7543,6807,6395,6002,5190,5075,4778,4979,4295,3821,3666,3571,3569,3664,3363,2946,9724,12254,12270,12581,11491,10928,10384,9092,9004,8465,8808,7587,6740,6457,6281,6268,6426,5890,5152,13.1,50.5,8.3,77.7,10.3,35.1,5.4,21.3,183.3,20.5,80,4.6,6.5,50.5,25.2,41.7,353.7,0.5,170.8,468.7,13.6,22.7,4.6,22.2,13.6,32355,7.7,3.8,24,8.9,11.8,22.2,35787,20,9638,9224,36.80184478,31602,8324,10487,5812,16537,49680.90452,34939,20486
8,Near North Side,0,,1,1,72811,80484,7673,767.3,73578,74346,75113,75880,76648,77415,78182,78949,79717,80484,82984,85483,87983,90483,92983,95482,97982,100482,102981,105481,2500,12553,15471,15760,14644,14226,13884,13515,12280,11597,11233,11297,10121,8999,9088,10580,12334,13102,12585,7282,16885,20597,20770,19106,18376,17759,17119,15404,14409,13536,13215,11503,9946,9774,11081,12588,13039,12221,6904,10.7,35.9,8.6,69.7,9.6,34,3.7,24,142.7,15.1,27,3.2,6.5,33.6,15.1,22,311.2,0.1,244.4,235.8,5.5,13.4,2,23.3,3.4,87163,5.2,1.9,12.9,7,2.5,22.6,88669,1,7352,7839,34.89373482,63507,5305,8049,9982,30446,93707.26029,68948,16035
22,Logan Square,0,,1,1,82715,73595,-9120,-912,81803,80891,79979,79067,78155,77243,76331,75419,74507,73595,73402,73209,73016,72823,72630,72437,72244,72051,71858,71665,-193,8919,11367,10655,9436,9605,9195,8934,8697,8169,7336,6800,5862,5107,4809,5477,5083,4961,4890,3733,11026,14212,13476,12073,12435,12046,11846,11673,11100,9994,9288,8028,7013,6621,7561,7036,6885,6805,5209,18.2,63.5,7.2,78.2,9.4,66.1,8.6,9.2,148.7,13.7,75.7,10.2,4.3,37.7,17.5,31.9,364.4,0.9,209,159.3,8.4,17.2,3.2,26.7,18.5,29026,7.5,3.2,16.8,8.2,14.8,26.2,31908,23,9430,9318,32.85972306,22244,2471,3945,6226,10390,103336.2793,25564,8987
24,West Town,0,,1,2,87435,81432,-6003,-600.3,86835,86234,85634,85034,84434,83833,83233,82633,82032,81432,82067,82702,83337,83972,84607,85241,85876,86511,87146,87781,635,12341,15389,14156,12869,13014,12343,12729,11797,11368,10144,9688,8215,7350,7091,8253,8344,7338,7293,5268,14311,17971,16647,15241,15524,14829,15404,14381,13960,12361,11714,9858,8753,8381,9682,9716,8482,8369,6001,18.8,60.4,9.1,75.5,10.8,49.2,8.5,14.5,139.6,12.4,107,6.6,5.1,27.4,16.6,33.3,316.6,0.5,177.5,182.8,3.6,15.7,2,22.9,13.4,39596,6,2.3,14.7,6.6,12.9,21.7,43198,10,13107,12847,32.1312524,51498,21219,5630,3725,27327,88761.04764,57303,21892
25,Austin,1,1,1,5,117527,98514,-19013,-1901.3,115626,113724,111823,109922,108021,106119,104218,102317,100415,98514,98318,98123,97927,97731,97536,97340,97144,96948,96753,96557,-196,21115,30839,29489,28379,28897,28542,27266,26043,24301,22735,21368,20262,18808,17424,16791,15453,15174,14756,12719,18567,27578,26827,26272,27231,27387,26649,25935,24668,23124,21777,20691,19245,17864,17250,15907,15652,15251,13173,18,80.1,15.4,72.9,14.3,81.8,34.4,33.7,261.9,29.8,113.9,28.5,13.3,74.6,69.8,56.8,492.3,2,1741.1,1678.9,5.8,27,5.7,39,25,15920,21,6.3,28.6,22.6,24.4,37.9,15957,73,14299,16319,35.31122795,4403,12398,76989,483,5641,32843.04285,76434,11709
26,West Garfield Park,0,,1,1,23019,18001,-5018,-501.8,22517,22015,21514,21012,20510,20008,19506,19005,18503,18001,17944,17887,17831,17774,17717,17660,17603,17547,17490,17433,-57,5595,7420,7880,8428,8416,7936,7431,6396,6379,6285,6680,6682,6229,6039,5792,5378,5737,6223,4969,25414,34489,37502,41092,42063,40685,39100,34567,35437,35026,37346,37474,35046,34086,32797,30552,32695,35580,28503,20.1,88.4,17,71.4,17.5,114.9,40,54.7,291.5,31.4,118.2,36,19,65.3,75,77,516.1,1.4,3193.3,2336.7,6.5,40.3,8.9,42.5,26.2,10951,25.2,9.4,41.7,25.8,24.5,43.6,10934,92,20735,19293,29.1840836,384,356,16206,44,350,23250,14987,403
27,East Garfield Park,0,,1,6,20881,20567,-314,-31.4,20850,20818,20787,20755,20724,20693,20661,20630,20598,20567,20510,20452,20395,20337,20280,20222,20165,20107,20050,19992,-57,6359,9179,9192,8317,8617,8413,7924,7171,6962,6421,6193,6285,5820,5465,5051,4779,4942,4654,3722,30546,44157,44288,40132,41642,40719,38410,34814,33850,31307,30281,30816,28618,26948,24978,23699,24579,23212,18617,19.4,80.8,17.5,73.2,16.3,93.2,38.4,21.7,236.8,24.8,97.3,37.1,11,56.3,78.1,47.5,503.7,0.9,2325.1,1730.2,13.6,39.7,7.5,43.2,26.2,13596,16.4,8.2,42.4,19.6,21.3,43.2,12961,83,20735,19293,30.49344501,1120,719,17729,145,1108,23116.16162,17596,834
28,Near West Side,1,3,1,3,46419,54881,8462,846.2,47265,48111,48958,49804,50650,51496,52342,53189,54035,54881,56181,57481,58781,60081,61381,62681,63981,65281,66581,67881,1300,10855,15807,14768,13215,12147,11617,11594,10369,9810,9673,9422,8519,7908,7961,9485,9070,9466,9361,6489,22562,32287,29652,26091,23588,22194,21798,19189,17875,17218,16392,14493,13162,12970,15132,14176,14500,14060,9559,18.2,55.6,9,77.6,10.5,36.7,12.7,33.4,202,19.2,62.3,9.3,9.1,66.2,33.6,43.5,396.7,0.5,629.2,466.5,14.1,21.6,3.8,22.9,11.2,41488,10.7,3.8,20.6,10.7,9.6,22.2,44689,15,13107,12847,30.78962636,26122,6245,18151,10780,14801,80727.42475,44951,14274
29,North Lawndale,0,,1,2,41768,35912,-5856,-585.6,41182,40597,40011,39426,38840,38254,37669,37083,36498,35912,35800,35688,35577,35465,35353,35241,35129,35018,34906,34794,-112,8720,12348,13370,12739,12081,11352,11414,10432,10863,10014,10397,9805,8727,8439,8826,9095,9452,9007,7212,21479,30862,33912,32799,31581,30136,30780,28582,30249,27972,29133,27560,24607,23871,25045,25890,26992,25804,20728,20.6,86.3,15.3,75.8,15.2,108.9,46.7,45.8,261.5,34.8,99.2,37.6,14.1,61.7,54,70.2,565.7,1.4,2529.9,2236.3,9.3,38.6,7.2,40.9,30.4,12548,18.5,7.4,43.1,21.2,27.6,42.7,12034,87,20735,19293,29.39704311,966,3140,31270,77,1708,26361.91199,30446,2743
35,Douglas,1,3,1,2,26470,18238,-8232,-823.2,25647,24824,24000,23177,22354,21531,20708,19884,19061,18238,18443,18649,18854,19059,19265,19470,19675,19880,20086,20291,205,5348,6517,6846,6843,6182,5468,4227,3177,2936,2704,2779,2795,2574,2530,2623,2637,2729,2744,2181,21544,27154,29538,30612,28712,26405,21258,16668,16098,14661,14902,14824,13505,13133,13472,13403,13727,13661,10749,10.3,42.2,11.7,76,10.2,34.2,13.6,34.3,269.9,33.2,119.1,9.1,13.4,74.5,85.5,62.1,482.2,0,1063.3,727.4,4.2,26.1,1.6,31,16.9,23098,16.7,1.8,29.6,18.2,14.3,30.7,23791,47,14443,19067,33.42665357,2297,661,14718,2655,3116,31906.97674,16043,3882
