Community Area,Community Area Name,Treatment,First_treatment,2000_POP,2010_POP,POP_CHANGE,Per_Year_Change,Pop_2001,Pop_2002,Pop_2003,Pop_2004,Pop_2005,Pop_2006,Pop_2007,Pop_2008,Pop_2009,Pop_2010,Pop_2011,Pop_2012,Pop_2013,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018,Pop_2019,Pop_2020,2020_2010_Diff,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Gonorrhea in Males,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,Crime_2002,Crime_2003,Crime_2004,Crime_2005,Crime_2006,Crime_2007,Crime_2008,Crime_2009,Crime_2010,Crime_2011,Crime_2012,Crime_2013,Crime_2014,Crime_2015,Crime_2016,Crime_2017,Crime_2018,Crime_2019,Crime_2020,Crime_2021,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,2002_cr_per_100k,2003_cr_per_100k,2004_cr_per_100k,2005_cr_per_100k,2006_cr_per_100k,2007_cr_per_100k,2008_cr_per_100k,2009_cr_per_100k,2010_cr_per_100k,2011_cr_per_100k,2012_cr_per_100k,2013_cr_per_100k,2014_cr_per_100k,2015_cr_per_100k,2016_cr_per_100k,2017_cr_per_100k,2018_cr_per_100k,2019_cr_per_100k,2020_cr_per_100k
1,Rogers Park,,,63484,54991,-8493,-849.3,62635,61785,60936,60087,59238,58388,57539,56690,55840,54991,55055,55118,55182,55246,55310,55373,55437,55501,55564,55628,64,16.4,62,11,73,11.2,40.8,7.7,23.3,176.9,25.3,77.1,5.2,6.4,36.7,21.7,33.7,364.7,0.5,322.5,423.3,11.4,22.7,7.9,28.8,18.1,23714,7.5,,,,,,,,,,,,,,,,,,,,,7.7,23.6,8.7,18.2,27.5,23939,39,,,,,,,,,,,,,,,,,,,
2,West Ridge,,,73199,71942,-1257,-125.7,73073,72948,72822,72696,72571,72445,72319,72193,72068,71942,72460,72978,73496,74014,74532,75050,75568,76086,76604,77122,518,17.3,83.3,8.1,71.1,8.3,29.9,5.8,20.2,155.9,17.3,60.5,3.7,5.1,36,14.2,34.7,331.4,1,141,205.7,8.9,15.1,7,38.3,19.6,21375,7.9,,,,,,,,,,,,,,,,,,,,,7.8,17.2,8.8,20.8,38.5,23040,46,,,,,,,,,,,,,,,,,,,
3,Uptown,,,63551,56362,-7189,-718.9,62832,62113,61394,60675,59957,59238,58519,57800,57081,56362,56444,56526,56608,56690,56772,56854,56936,57018,57100,57182,82,13.1,50.5,8.3,77.7,10.3,35.1,5.4,21.3,183.3,20.5,80,4.6,6.5,50.5,25.2,41.7,353.7,0.5,170.8,468.7,13.6,22.7,4.6,22.2,13.6,32355,7.7,,,,,,,,,,,,,,,,,,,,,3.8,24,8.9,11.8,22.2,35787,20,,,,,,,,,,,,,,,,,,,
4,Lincoln Square,,,44574,39493,-5081,-508.1,44066,43558,43050,42542,42034,41525,41017,40509,40001,39493,39593,39693,39793,39893,39994,40094,40194,40294,40394,40494,100,17.1,61,8.1,80.5,9.7,38.4,5,21.7,153.2,8.6,55.4,6.1,3.8,43.1,27.6,36.9,273.3,0.4,98.8,195.5,8.5,9.5,3.1,25.6,12.5,35503,6.8,,,,,,,,,,,,,,,,,,,,,3.4,10.9,8.2,13.4,25.5,37524,17,,,,,,,,,,,,,,,,,,,
5,North Center,,,31895,31867,-28,-2.8,31892,31889,31887,31884,31881,31878,31875,31873,31870,31867,32192,32516,32841,33166,33491,33815,34140,34465,34789,35114,325,22.4,76.2,9.1,80.4,9.8,8.4,1,16.6,152.1,26.1,49.8,1,2.7,42.4,15.1,41.6,178.1,0.9,85.4,188.6,1.9,7.1,0.2,25.5,5.4,51615,4.5,,,,,,,,,,,,,,,,,,,,,0.3,7.5,5.2,4.5,26.2,57123,6,,,,,,,,,,,,,,,,,,,
6,Lake View,,,94817,94368,-449,-44.9,94772,94727,94682,94637,94593,94548,94503,94458,94413,94368,95236,96104,96973,97841,98709,99577,100445,101314,102182,103050,868,13.5,38.7,6.3,79.1,8.1,15.8,1.4,20.1,126.9,13,38.5,1.8,2.2,32.5,17,24.4,179.2,0.4,81.8,357.6,3.2,10.5,1.2,16.5,2.9,58227,4.7,,,,,,,,,,,,,,,,,,,,,1.1,11.4,4.7,2.6,17,60058,5,,,,,,,,,,,,,,,,,,,
7,Lincoln Park,,,64320,64116,-204,-20.4,64300,64279,64259,64238,64218,64198,64177,64157,64136,64116,64754,65391,66029,66666,67304,67942,68579,69217,69854,70492,638,13.2,38.7,6.6,75.7,7.8,2.1,0.7,23.7,152.9,16.7,50.1,2.3,2.4,40,27.3,35.3,173.3,0.6,50.3,93.1,1.2,11.8,0.6,20.4,4.3,71403,4.5,,,,,,,,,,,,,,,,,,,,,0.8,12.3,5.1,3.6,21.5,71551,2,,,,,,,,,,,,,,,,,,,
8,Near North Side,,,72811,80484,7673,767.3,73578,74346,75113,75880,76648,77415,78182,78949,79717,80484,82984,85483,87983,90483,92983,95482,97982,100482,102981,105481,2500,10.7,35.9,8.6,69.7,9.6,34,3.7,24,142.7,15.1,27,3.2,6.5,33.6,15.1,22,311.2,0.1,244.4,235.8,5.5,13.4,2,23.3,3.4,87163,5.2,,,,,,,,,,,,,,,,,,,,,1.9,12.9,7,2.5,22.6,88669,1,,,,,,,,,,,,,,,,,,,
9,Edison Park,,,11259,11187,-72,-7.2,11252,11245,11237,11230,11223,11216,11209,11201,11194,11187,11221,11255,11288,11322,11356,11390,11424,11457,11491,11525,34,11.3,59.5,7.9,86.6,12.6,3.9,0,13.8,189.7,15.1,53,7.1,4.6,45.2,28,38.9,134.7,0,,.,1.8,5.1,0.6,36.6,8.5,38337,7.4,,,,,,,,,,,,,,,,,,,,,1.1,3.3,6.5,7.4,35.3,40959,8,,,,,,,,,,,,,,,,,,,
10,Norwood Park,,,37669,37023,-646,-64.6,37604,37540,37475,37411,37346,37281,37217,37152,37088,37023,37151,37279,37407,37535,37663,37791,37919,38047,38175,38303,128,10.4,59.6,4.9,89.4,8.3,3.4,4.7,20.7,180.8,18.9,47.3,8.7,4.4,44.5,26.4,45.2,163.1,0,,.,1.6,5.9,2.3,40.6,13.5,31659,7.3,,,,,,,,,,,,,,,,,,,,,2,5.4,9,11.5,39.5,32875,21,,,,,,,,,,,,,,,,,,,
