y,t,g,Q
6922,0,0.2730074094485061,8001.8
4659,0,0.12793529141613658,8225.8
6426,1,0.11663272715008803,7097.8
4825,0,0.08165683019129627,4792.0
3885,0,0.14882364048623176,4587.0
5898,0,0.2502423696837821,9850.4
7250,0,0.2764376365592149,13871.2
13039,1,0.17073431467750855,12713.4
2217,0,0.20801720058864848,7305.2
3107,0,0.09261904105132633,5097.0
4240,0,0.05567298835311853,6467.6
2554,0,0.17575117975163157,5474.6
5683,0,0.09445474332561492,7029.0
4965,0,0.07125152321275965,8538.6
5103,0,0.19964280504049278,8483.4
5438,0,0.04319009740594801,8001.8
3526,0,0.07834549107373417,5645.6
4266,0,0.0802081100851146,9009.4
5634,0,0.2091826676690082,5173.0
5810,0,0.13815257600525094,5428.2
6370,0,0.0932925768540753,5394.6
6885,1,0.11010223023719773,10542.8
14874,0,0.1922079784317581,6393.0
8482,1,0.19935725317147812,7745.0
15652,1,0.4263753185893572,6212.8
32695,1,0.682612952684234,19586.6
24579,1,0.44045682827158017,21295.8
14500,1,0.14895139385021858,5167.6
26992,1,0.573226882891109,20771.4
6268,0,0.33140921044597677,8112.2
7027,0,0.19850157288628842,6395.6
27437,0,0.15833802924105203,5491.6
6905,0,0.10530139064617591,8931.4
7411,0,0.21583538645904013,7619.8
13727,1,0.20906965988142276,7625.4
10252,0,0.47771723308793734,8268.8
31799,1,0.5735450970723783,14815.6
13580,1,0.3832785725163113,13169.6
7810,1,0.2814992842811941,5474.6
22520,1,0.6825436503902312,21241.2
6864,0,0.26945542900588715,4461.8
14169,1,0.39615951173213415,15423.2
16384,0,0.47418172829266325,15251.2
20732,0,0.7175606677980031,17586.6
12152,0,0.40496502400229883,8782.6
15449,0,0.45166690838152335,19456.4
14894,0,0.5559297652582964,19456.4
10587,1,0.2563335563099403,10940.4
17415,1,0.4898246097457964,21460.2
17483,0,0.50019588266831,11646.2
12268,0,0.3908663337291959,14555.4
5035,0,0.16495220305393218,6083.8
15239,1,0.5104988639802884,17372.6
19181,0,0.5721430069090963,22432.0
6299,0,0.06615228356225109,12596.6
5957,0,0.07307021325971778,4693.2
5885,0,0.12648116440599502,7619.8
4870,0,0.1623903511291774,9083.0
5756,0,0.09814973467058932,5760.4
4569,0,0.1455795406250117,5328.0
9770,0,0.35583101051786625,6964.2
5557,0,0.0705225927050034,5619.6
5241,0,0.11840545144893051,6388.8
4011,0,0.06497371622002286,6992.6
5312,0,0.07084190420269651,6626.6
10218,0,0.1406008298379141,6393.0
23129,1,0.5891698810898296,20445.4
24397,1,0.7174759977003867,19935.8
20150,1,0.5681994443878814,20561.8
5894,0,0.09167210364333442,4705.8
16298,1,0.6026875841501195,17367.0
4639,0,0.22111767905754803,6560.6
12698,0,0.5015138548235258,16774.0
3066,0,0.1492392302372692,7505.4
10015,0,0.24026138780103803,9122.8
12509,0,0.2431379254606117,6864.2
