y,t,g,Q
6922,0,0.23632694271516275,5539.2
4659,0,0.24214896259770494,6446.6
6426,1,0.1542023344260767,7042.2
4825,0,0.07231885078485317,3865.4
3885,0,0.10277670975553502,3558.4
5898,0,0.44433377923932355,7651.8
7250,0,0.2665068625254748,9866.4
13039,1,0.2518836418861281,6988.2
2217,0,0.15329141198678037,9172.8
3107,0,0.07477863813527687,4486.6
4240,0,0.04368182637516948,5305.8
2554,0,0.08188109746423056,4502.0
5683,0,0.09006291564604874,5138.4
4965,0,0.12738170198965573,6041.4
5103,0,0.16131006487423716,5455.4
5438,0,0.08459564649629142,5278.0
3526,0,0.06537720412540174,5139.4
4266,0,0.11083893818519475,7634.4
5634,0,0.16364356877724287,5289.4
5810,0,0.11075203191487586,5428.2
6370,0,0.06561024563098435,6705.8
6885,1,0.1814454004319439,8107.2
14874,0,0.28965044690729935,6148.0
8482,1,0.1872417354919671,7295.4
15652,1,0.37511920604599064,14303.8
32695,1,0.7098743356081101,16561.0
24579,1,0.5038729120245441,16396.2
14500,1,0.34431588052846296,5167.6
26992,1,0.6752359700336434,20221.2
6268,0,0.3138742814677047,8167.4
7027,0,0.04557592207411971,6643.8
27437,0,0.10758503752441166,5440.0
6905,0,0.20429311238325953,5191.4
7411,0,0.17053089024323134,6902.6
13727,1,0.3770823969662163,18741.8
10252,0,0.2271007895784978,10052.8
31799,1,0.3774187678080043,14001.8
13580,1,0.5213454278894938,17914.0
7810,1,0.26600922593517695,18741.8
22520,1,0.621449865892884,14334.2
6864,0,0.24578516614191995,4036.4
14169,1,0.5216307747150585,18098.6
16384,0,0.5436644224398827,21460.2
20732,0,0.726305580756819,19122.6
12152,0,0.3334468988197397,13664.0
15449,0,0.5140907144087623,17369.8
14894,0,0.28098208314763545,18624.8
10587,1,0.42011396529536227,13451.8
17415,1,0.646836128545404,21460.2
17483,0,0.37581780967749273,18461.8
12268,0,0.35659699169031983,13430.6
5035,0,0.06761346424383893,6007.0
15239,1,0.5622917866937899,19281.0
19181,0,0.378534443709391,18461.8
6299,0,0.15003207936661578,15585.6
5957,0,0.07450849514210313,5249.2
5885,0,0.16302672416931482,5512.2
4870,0,0.050325922074119706,8313.4
5756,0,0.08222345623190452,5538.0
4569,0,0.18765195441212656,6021.4
9770,0,0.1871999346139483,5913.6
5557,0,0.10451810606510847,6591.0
5241,0,0.04902208593254112,6669.8
4011,0,0.02602691184525495,5100.4
5312,0,0.03315461747296058,6761.0
10218,0,0.2559746071242264,6484.2
23129,1,0.5867692657999877,18643.2
24397,1,0.6993510301783681,17369.8
20150,1,0.620291782861805,19239.0
5894,0,0.24924385498211266,12987.2
16298,1,0.5833557729658042,20334.6
4639,0,0.21471635629547411,5880.8
12698,0,0.6223379544479372,18566.0
3066,0,0.1010302681130188,4399.6
10015,0,0.3923529245470072,13130.6
12509,0,0.3425587900778561,14334.2
