GEO_ID,NAME,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0004E,DP05_0004M,DP05_0004PE,DP05_0004PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM,DP05_0009E,DP05_0009M,DP05_0009PE,DP05_0009PM
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population!!Male,Margin of Error!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Percent Margin of Error!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Margin of Error!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Percent Margin of Error!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Margin of Error!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Percent Margin of Error!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),Estimate!!SEX AND AGE!!15 to 19 years,Margin of Error!!SEX AND AGE!!15 to 19 years,Percent!!SEX AND AGE!!15 to 19 years,Percent Margin of Error!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Margin of Error!!SEX AND AGE!!20 to 24 years,Percent!!SEX AND AGE!!20 to 24 years,Percent Margin of Error!!SEX AND AGE!!20 to 24 years
7950000US1703501,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",86446,6956,49.9,2.4,86749,7441,50.1,2.4,99.7,9.6,(X),(X),7660,2199,4.4,1.1,16817,3326,9.7,1.9
7950000US1703502,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",84494,5166,52.5,1.6,76331,4377,47.5,1.6,110.7,7.1,(X),(X),4221,1263,2.6,0.7,23374,3428,14.5,1.9
7950000US1703503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",79804,6851,50,2,79929,5788,50,2,99.8,8,(X),(X),7421,2193,4.6,1.3,5646,1246,3.5,0.8
7950000US1703504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",70109,4626,47.7,1.6,76739,5209,52.3,1.6,91.4,5.8,(X),(X),8372,1661,5.7,1,9399,1740,6.4,1.1
7950000US1703520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",64906,4617,48.9,1.7,67908,4090,51.1,1.7,95.6,6.3,(X),(X),8566,1721,6.4,1.2,5528,1510,4.2,1.1
7950000US1703521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",88112,5804,45.3,1.8,106195,6920,54.7,1.8,83,6,(X),(X),12845,2285,6.6,1.1,15042,2588,7.7,1.3
7950000US1703522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",64929,4543,50.9,1.9,62654,4685,49.1,1.9,103.6,7.8,(X),(X),6293,1527,4.9,1.1,10190,1766,8,1.3
7950000US1703523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",99317,7207,51,1.9,95503,6188,49,1.9,104,7.8,(X),(X),14951,2186,7.7,1,17590,2620,9,1.2
7950000US1703524,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",84831,5496,50.6,1.8,82980,5217,49.4,1.8,102.2,7.4,(X),(X),7888,1735,4.7,1,14045,1971,8.4,1.1
7950000US1703525,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",69034,5801,47.9,2.4,75178,4953,52.1,2.4,91.8,8.9,(X),(X),5309,1498,3.7,1,9497,2109,6.6,1.4
7950000US1703526,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",82602,5600,49.5,1.8,84412,5964,50.5,1.8,97.9,7,(X),(X),11183,1910,6.7,1,12585,2017,7.5,1.1
7950000US1703527,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",74843,7003,50.4,1.7,73688,6684,49.6,1.7,101.6,7,(X),(X),10246,2027,6.9,1.2,9007,1778,6.1,1
7950000US1703528,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",65114,5543,47,2.2,73527,6207,53,2.2,88.6,7.8,(X),(X),10004,1925,7.2,1.2,9467,2315,6.8,1.5
7950000US1703529,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",81467,5846,44.8,1.9,100374,6115,55.2,1.9,81.2,6.3,(X),(X),12259,2246,6.7,1.2,16327,2522,9,1.3
7950000US1703530,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",63861,5472,46.2,2.4,74236,6005,53.8,2.4,86,8.4,(X),(X),9395,2193,6.8,1.5,7469,1608,5.4,1.1
7950000US1703531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",61133,5666,45.8,1.9,72241,5720,54.2,1.9,84.6,6.3,(X),(X),6841,1403,5.1,1,8065,2266,6,1.5
7950000US1703532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",62828,6125,45,1.9,76928,6769,55,1.9,81.7,6.3,(X),(X),8445,1563,6,1,12252,2327,8.8,1.6
