GEO_ID,NAME,DP05_0002E,DP05_0002M,DP05_0002PE,DP05_0002PM,DP05_0003E,DP05_0003M,DP05_0003PE,DP05_0003PM,DP05_0008E,DP05_0008M,DP05_0008PE,DP05_0008PM,DP05_0009E,DP05_0009M,DP05_0009PE,DP05_0009PM
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population!!Male,Margin of Error!!SEX AND AGE!!Total population!!Male,Percent!!SEX AND AGE!!Total population!!Male,Percent Margin of Error!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Margin of Error!!SEX AND AGE!!Total population!!Female,Percent!!SEX AND AGE!!Total population!!Female,Percent Margin of Error!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Total population!!15 to 19 years,Margin of Error!!SEX AND AGE!!Total population!!15 to 19 years,Percent!!SEX AND AGE!!Total population!!15 to 19 years,Percent Margin of Error!!SEX AND AGE!!Total population!!15 to 19 years,Estimate!!SEX AND AGE!!Total population!!20 to 24 years,Margin of Error!!SEX AND AGE!!Total population!!20 to 24 years,Percent!!SEX AND AGE!!Total population!!20 to 24 years,Percent Margin of Error!!SEX AND AGE!!Total population!!20 to 24 years
7950000US1703501,"Chicago City (North)--Edgewater, Uptown & Rogers Park PUMA; Illinois",86105,6308,50.5,1.9,84535,5938,49.5,1.9,8617,2454,5,1.3,12166,2214,7.1,1.3
7950000US1703502,"Chicago City (North)--Lake View & Lincoln Park PUMA, Illinois",86901,5438,50.1,1.5,86452,5322,49.9,1.5,6378,1635,3.7,0.9,18545,2587,10.7,1.3
7950000US1703503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA; Illinois",74352,5360,47.4,2.1,82358,8558,52.6,2.1,6620,2063,4.2,1.2,6587,1557,4.2,0.9
7950000US1703504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA; Illinois",66532,5779,47.8,1.9,72729,6786,52.2,1.9,9001,2149,6.5,1.2,7519,2040,5.4,1.3
7950000US1703520,"Chicago City (Northwest)--Portage Park, Dunning & Jefferson Park PUMA; Illinois",63838,4280,48.3,1.8,68314,5134,51.7,1.8,7429,1564,5.6,1.1,9045,1808,6.8,1.2
7950000US1703521,"Chicago City (West)--Austin, Belmont Cragin & Montclare PUMA; Illinois",92658,7387,48.7,2,97531,8371,51.3,2,14098,2882,7.4,1.3,12897,2138,6.8,1.1
7950000US1703522,"Chicago City (Northwest)--Logan Square, Avondale & Hermosa PUMA; Illinois",66829,4513,51.2,1.9,63720,4246,48.8,1.9,6062,1713,4.6,1.2,8656,1719,6.6,1.3
7950000US1703523,"Chicago City (West)--North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA; Illinois",89993,7820,51.2,2.1,85732,6531,48.8,2.1,11088,2329,6.3,1.2,10430,2086,5.9,1.2
7950000US1703524,"Chicago City (West)--West Town, Near West Side & Lower West Side PUMA; Illinois",99588,6969,52.9,1.6,88528,5237,47.1,1.6,6246,1299,3.3,0.7,15226,2657,8.1,1.3
7950000US1703525,"Chicago City (Central)--Near North Side, Loop & Near South Side PUMA; Illinois",76866,6117,46.7,2,87791,7140,53.3,2,4683,1622,2.8,1,11743,3374,7.1,2
7950000US1703526,"Chicago City (Southwest)--Brighton Park, New City, Bridgeport & McKinley Park PUMA; Illinois",82742,6419,51.3,2.2,78577,6499,48.7,2.2,10624,1958,6.6,1,11404,1984,7.1,1.1
7950000US1703527,"Chicago City (Southwest)--Gage Park, Garfield Ridge & West Lawn PUMA; Illinois",75963,5982,51.3,2.2,72205,5843,48.7,2.2,10899,1949,7.4,1.2,8682,2057,5.9,1.3
7950000US1703528,"Chicago City (South)--Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA; Illinois",60487,5839,46.8,2.3,68678,6399,53.2,2.3,9971,2346,7.7,1.7,10608,2933,8.2,2
7950000US1703529,"Chicago City (South)--South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA; Illinois",86593,6718,45.5,1.9,103525,6575,54.5,1.9,12545,2364,6.6,1.1,16039,3124,8.4,1.5
7950000US1703530,"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",58370,6141,46.7,2.4,66724,6239,53.3,2.4,11156,2296,8.9,1.6,6972,1713,5.6,1.2
7950000US1703531,"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",57776,5507,45.8,2,68376,6280,54.2,2,6567,1552,5.2,1.1,7938,1674,6.3,1.1
7950000US1703532,"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",55783,4759,42.4,2.6,75874,6062,57.6,2.6,7654,1676,5.8,1.2,7769,1572,5.9,1.2
