School,Address,Community Area,Area Number,Zip Code,Year Closed,,Community Area Number,Year Treated ,Number of Treatments
Daniel Hale Williams,2710 S Dearborn,Douglas,35,60616,2002,,35,2002,6
Mary Mapes Dodge,2651 W Washington Blvd,East Garfield Park,27,60612,2002,,27,2002,8
Mary C Terrell,5410 S State,Washington Park,40,60609,2002,,40,2002,3
Flower,3545 W Fulton,East Garfield Park,27,60624,2003,,38,2003,8
Colman,4655 S Dearborn,Grand Boulevard,38,60609,2003,,23,2003,12
Woodson N,4414 S Evans,Grand Boulevard,38,60653,2003,,7,2003,1
Marin,3320 W Evergreen,Humboldt Park,23,60651,2003,,36,2003,1
Arts of Living,1855 N Sheffield,Lincoln Park,7,60614,2003,,42,2003,3
Donoghue,707 E 37th St,Oakland,36,60653,2003,,71,2004,3
Tesla,6657 S Kimbark ,Woodlawn,42,60637,2003,,25,2004,8
Calumet,8131 S May St,Auburn Gresham,71,60620,2004,,66,2004,1
Austin,231 N Pine Ave,Austin,25,60644,2004,,8,2004,6
Anderson,6315 S Claremont Ave,Chicago Lawn,66,60636,2004,,28,2004,14
Doolittle West,521 East 35th St,Douglas,35,60616,2004,,68,2005,8
Raymond,3663 South Wabash,Douglas,35,60653,2004,,29,2005,7
Douglas,3200 S Calumet,Douglas,35,60616,2004,,67,2005,8
Hartigan,8 West Root St,Grand Boulevard,38,60609,2004,,55,2006,1
Orr,730 North Pulaski,Humboldt Park,23,60624,2004,,61,2006,2
Wright,627 N Harding,Humboldt Park,23,60624,2004,,3,2007,3
Byrd,363 West Hill St,Near North Side,8,60610,2004,,69,2007,3
Truth,1443 N Ogden,Near North Side,8,60610,2004,,6,2007,2
Suder,2022 West Washington,Near West Side,28,60612,2004,,43,2007,5
Spalding ES and HS ,1628 West Washington,Near West Side,28,60612,2004,,56,2008,1
Jefferson,1522 W Fillmore,Near West Side,28,60607,2004,,16,2008,2
Englewood,6201 S Stewart,Englewood,68,60621,2005,,31,2008,1
Grant,145 S Campbell,Near West Side,28,60612,2005,,54,2008,3
Howland,1616 S Spalding,North Lawndale,29,60623,2005,,24,2008,4
Bunche,6515 S Ashland,West Englewood,67,60636,2005,,34,2008,1
Farren,5055 S State St,Grand Boulevard,38,60609,2006,,48,2009,3
DuSable,4934 S Wabash,Grand Boulevard,38,60615,2006,,37,2009,2
Carver,1310 S Doty Ave,Hegewisch,55,60827,2006,,46,2009,2
Morse Elementary,620 N Sawyer,Humboldt Park,23,60624,2006,,21,2011,1
Sherman,1000 West 52nd St,New City,61,60609,2006,,39,2012,2
Frazier Elem,4027 West Grenshaw St,North Lawndale,29,60624,2006,,77,2013,1
Collins,1313 South Sacramento Drive,North Lawndale,29,60623,2006,,22,2013,1
Arai,900 West Wilson,Uptown,3,60640,2006,,49,2013,2
Lindblom HS,6130 S Wolcott,West Englewood,67,60636,2006,,26,2013,1
Harvard,7525 S Harvard Ave,Greater Grand Crossing,69,60620,2007,,53,2013,2
Westinghouse HS,3301 West Franklin,Humboldt Park,23,60624,2007,,,,
LeMoyne,851 West Waveland Ave,Lakeview,6,60613,2007,,,,
South Shore Community,7527 S Constance Ave,South Shore,43,60649,2007,,,,
Midway,5434 S Lockwood Ave,Garfield Ridge,56,60622,2008,,,,
AASTA,730 North Pulaski,Humboldt Park,23,60624,2008,,,,
Vines,730 North Pulaski,Humboldt Park,23,60624,2008,,,,
Excel,730 North Pulaski,Humboldt Park,23,60624,2008,,,,
Irving Park,3815 N Kedvale Ave,Irving Park,16,60641,2008,,,,
De La Cruz,2317 West 23rd Place,Lower West  Side,31,60608,2008,,,,
